code,Region Name,Sub-region Name,country,slope,error,number_of_points,start_date,end_date,r0,r0_error,pf_eigenvalue,pf_eigenvalue [0],"pf_eigenvalue [0, 1]","pf_eigenvalue [0, 1, 2]","pf_eigenvalue [0, 1, 2, 3]","pf_eigenvalue [0, 1, 2, 3, 4]","pf_eigenvalue [0, 1, 2, 3, 4, 5]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6, 7]"
LTU,Europe,Northern Europe,Lithuania,-0.0152768,0.0036508,33,2020-03-25,2020-04-26,0.9204966892899165,0.018300127805276203,16.278812634462952,16.139707942631077,15.69075208032332,14.334787011588235,12.196878065958233,11.001987234098186,9.424882617243467,7.708041740693723,5.704828980543353
LUX,Europe,Western Europe,Luxembourg,-0.053403,0.00104514,86,2020-03-19,2020-06-12,0.7462617787037065,0.004338655131203066,19.69077714775681,19.58417881429985,19.016507346285685,17.96705391337924,16.012616930175376,15.069078543730972,13.378384834266393,10.868546811371724,8.784584395018495
LVA,Europe,Northern Europe,Latvia,-0.0309562,0.00139363,84,2020-04-01,2020-06-23,0.8448491313130606,0.00646768646855712,14.803887628928859,14.613659208492134,14.400978117523213,14.103006641356473,12.601999610589994,11.044659460214241,9.326395846329651,7.795918457731003,6.105282488672457
MAR,Africa,Northern Africa,Morocco,0.052479700000000004,0.00342505,32,2020-03-26,2020-04-26,1.3223268200708487,0.023773283494645834,18.385561360281947,18.18367295578268,17.467834672336373,15.865291524290669,9.88789629264835,7.658357944598787,5.9290635683190525,4.513583095562943,3.2963783981777084
MDV,Asia,Southern Asia,Maldives,-0.0162186,0.00119881,71,2020-04-30,2020-07-09,0.915786652564135,0.005981561167635361,28.82199781484983,28.73334300792439,28.3588285833023,26.356956186311603,11.849447947941826,8.151699363591911,6.475388296294071,5.1048446437032,3.7608998329159498
MEX,Americas,Latin America and the Caribbean,Mexico,0.0808596,0.00188334,45,2020-03-21,2020-05-04,1.5330310923267088,0.01492961324278345,18.49225133417534,18.106284880881635,17.180452054616847,15.334400940194332,10.49523756759451,8.660013969440326,7.085670490657085,5.544485301139202,3.9156793742809626
MKD,Europe,Southern Europe,North Macedonia,-0.0157419,0.00169145,56,2020-04-03,2020-05-28,0.9181679638250042,0.008459345425729287,16.414006000282754,16.30800007043831,16.060474024383062,15.134981580769516,11.543063177270849,10.129747417454436,8.423521210588888,6.846196648213367,5.2486027218830165
MLT,Europe,Southern Europe,Malta,0.0148624,0.000495859,119,2020-08-09,2020-12-05,1.083213386088803,0.0028770280802821345,15.767249742003882,15.713303393781214,15.512295462386927,14.79212018513443,10.819462171691187,9.320818364227671,7.692025355483757,6.164161894402295,4.8939325977210375
MNE,Europe,Southern Europe,Montenegro,0.0379453,0.0143825,13,2020-07-03,2020-07-15,1.224832211553093,0.09318993618906911,15.383682338397175,15.243308093716976,14.902981394525359,13.651925462952164,10.30170191060006,9.17822877148434,7.695973867971358,6.116363783975072,4.542091752872572
MNG,Asia,Eastern Asia,Mongolia,-0.0887945,0.013211099999999998,15,2020-11-23,2020-12-07,0.6116802573738673,0.04586856571556622,18.48857301392444,18.039910307213308,17.552218892607197,16.404318025920478,12.494829310677266,9.736847254418171,7.689635008996401,5.810071866405942,3.860140981429526
MOZ,Africa,Sub-Saharan Africa,Mozambique,0.0251541,0.000835131,83,2020-07-14,2020-10-04,1.1444277361174462,0.005090878261106137,27.397660970009376,26.39731997626853,16.630107291409768,12.556732172390447,10.185944875960207,8.580829519597177,7.063188494133716,5.682962853255947,4.363708341906691
MRT,Africa,Sub-Saharan Africa,Mauritania,0.05577530000000001,0.00359912,31,2020-05-29,2020-06-28,1.3453801911272825,0.02537250029111703,24.399191467706512,23.865186053493066,20.772690015644578,14.463842908494694,8.066771391932553,6.172979690210607,4.851831288651951,3.7740739662168896,2.8117388350435037
MYS,Asia,South-eastern Asia,Malaysia,0.015661,0.00304214,34,2020-03-15,2020-04-17,1.0878558654992831,0.01771878758568622,17.870578154470863,17.544297712920173,16.884621059641322,15.637783027741914,12.263006986572332,9.841823757372973,7.565694973711809,5.796959635397756,4.215661587696381
NAM,Africa,Sub-Saharan Africa,Namibia,0.0317173,0.00117603,65,2020-07-03,2020-09-05,1.1850706348767555,0.007397325785926775,22.43460489689013,22.006719144642005,20.316566548951148,16.78617400131265,12.387006854770398,9.951266899231511,7.860742026835933,6.0659354860910275,4.3023591314629295
