ISO-alpha3 Code,country,pf_eigenvalue,pf_eigenvalue [0],"pf_eigenvalue [0, 1]","pf_eigenvalue [0, 1, 2]","pf_eigenvalue [0, 1, 2, 3]","pf_eigenvalue [0, 1, 2, 3, 4]","pf_eigenvalue [0, 1, 2, 3, 4, 5]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6, 7]"
LBR,Liberia,23.274444471554737,22.563215008889525,19.655831495195308,16.651811009794827,9.893896301498074,7.883666798957581,6.312849490747904,5.035619622728546,3.6568758071437166
LCA,Saint Lucia,20.831414996302914,20.652199450841707,20.362908021152183,19.16534928552212,12.18466959298128,9.534903220792351,7.5977828038273945,5.780601878370538,4.056558563411442
LKA,Sri Lanka,19.005931387847653,18.84046365521676,18.27021249272447,16.87073918699541,9.900068789557652,7.850838276772011,6.360381444390406,4.969743516799759,3.8036858685986044
LSO,Lesotho,23.065905240370306,22.813047005061584,21.403664368039863,18.582528928262388,11.549400280902006,8.679605107864287,6.80704401006542,5.429778372241637,4.129358070280295
LTU,Lithuania,16.278812634462952,16.139707942631077,15.690752080323318,14.334787011588237,12.196878065958233,11.001987234098186,9.424882617243469,7.708041740693723,5.704828980543354
LUX,Luxembourg,19.690777147756812,19.584178814299854,19.016507346285692,17.96705391337924,16.012616930175376,15.069078543730972,13.378384834266393,10.868546811371724,8.784584395018495
LVA,Latvia,14.803887628928859,14.613659208492134,14.400978117523213,14.103006641356473,12.601999610589992,11.04465946021424,9.326395846329651,7.795918457731003,6.105282488672458
MAC,MAC,16.744838149522213,16.621025533562744,16.279831206426987,15.582389092427428,12.648963379448116,10.853949454157899,9.351687000912793,7.921859675845962,6.045167928874575
MAR,Morocco,18.385561360281947,18.18367295578268,17.467834672336373,15.865291524290669,9.88789629264835,7.658357944598788,5.929063568319053,4.513583095562944,3.2963783981777084
MCO,Monaco,12.510211930022589,12.423082667484168,11.832775202281056,10.771878646357056,9.693482425635196,9.23338267364486,8.659015224870753,7.996954864579922,7.176772843273651
MDV,Maldives,28.82199781484983,28.73334300792439,28.3588285833023,26.3569561863116,11.849447947941826,8.151699363591913,6.47538829629407,5.1048446437032,3.7608998329159498
MEX,Mexico,18.49225133417534,18.106284880881635,17.180452054616847,15.334400940194332,10.49523756759451,8.660013969440326,7.085670490657085,5.544485301139202,3.9156793742809626
MKD,North Macedonia,16.414006000282757,16.30800007043831,16.06047402438306,15.134981580769514,11.543063177270847,10.129747417454436,8.423521210588888,6.846196648213368,5.248602721883016
MLT,Malta,15.76724974200388,15.713303393781217,15.512295462386927,14.79212018513443,10.819462171691189,9.320818364227673,7.692025355483758,6.164161894402296,4.893932597721037
MNE,Montenegro,15.383682338397177,15.243308093716978,14.902981394525359,13.651925462952164,10.301701910600059,9.17822877148434,7.695973867971359,6.116363783975073,4.5420917528725715
MNG,Mongolia,18.48857301392444,18.039910307213308,17.552218892607197,16.404318025920478,12.494829310677265,9.736847254418173,7.689635008996401,5.810071866405942,3.860140981429526
MOZ,Mozambique,27.397660970009376,26.397319976268534,16.630107291409768,12.556732172390447,10.185944875960207,8.580829519597177,7.0631884941337155,5.682962853255946,4.363708341906691
MRT,Mauritania,24.399191467706512,23.865186053493062,20.77269001564458,14.463842908494696,8.066771391932553,6.172979690210607,4.851831288651951,3.7740739662168896,2.811738835043504
MUS,Mauritius,15.028575469291711,14.644226254388684,13.743053519316815,12.861616615741454,10.947497106051838,9.581995466978029,8.121957019375262,6.408556206903223,4.865487766510979
MYS,Malaysia,17.870578154470863,17.544297712920176,16.884621059641326,15.637783027741914,12.263006986572332,9.841823757372971,7.565694973711809,5.796959635397756,4.215661587696381
NAM,Namibia,22.434604896890132,22.006719144642005,20.316566548951148,16.78617400131265,12.387006854770398,9.951266899231513,7.860742026835933,6.065935486091028,4.3023591314629295
NER,Niger,31.760602438955097,30.877594042392726,24.467012683192614,12.376662933898544,7.792145563738774,6.514341438553018,5.4079959740412695,4.311452251341945,3.2199227954915917
NGA,Nigeria,24.151633626777464,23.413450381423758,20.251838917393844,18.178385147465903,9.783788836613608,7.559282021212734,5.93809052926608,4.727882767904302,3.6391361404123512
NIC,Nicaragua,22.823810900141417,22.48297091401629,20.85056997609611,17.928549711240855,10.523236247112816,8.075642439175105,6.155027861342554,4.719007119617974,3.407936032267863
NLD,Netherlands,18.134473859566143,17.999508265385593,17.395430546242515,16.340647632569087,14.785399850434596,13.824015487844084,12.78412115237282,11.080639162291854,8.285703496130989
NPL,Nepal,24.660305393930347,24.441899277135697,22.751902096296842,19.086399181785964,11.8901353410215,10.15382638160312,8.373022856945601,6.704195923382814,4.99377745679602
NZL,New Zealand,15.770351633174752,15.525636679535541,15.16025400121751,14.364626524331321,11.7608530986337,10.472169128049446,9.157211854028038,7.856556132799781,6.378634544069779
OMN,Oman,18.779471728226962,18.26673620653058,17.80247001840199,17.386404914646562,16.193929947621953,13.46261865957093,8.197593747802332,4.930383658951402,3.167268687025014
PAK,Pakistan,26.138407002923767,25.664621326854434,20.95065222157328,17.391401817509013,8.05219152998201,6.081515561149198,4.8992638578400385,3.949412375571069,2.9376012406797436
PAN,Panama,17.24665744097823,16.835047078253467,15.910365524646757,14.28257767458048,10.729770080130882,9.07832716543324,7.432192111214153,5.875924970981102,4.163912955953039
PER,Peru,19.17818030718346,18.836283593140614,18.042623618282626,16.27201069713692,12.032998909735996,10.199615020344474,8.385277692165323,6.6611234111138184,4.929854558614373
PHL,Philippines,21.081620439869397,20.783182993164743,19.61271875175209,17.174370950950284,10.622045158567513,8.751756846801346,7.186503051942944,5.720931230435079,4.250827908847846
POL,Poland,17.07262624848373,16.98854888047073,16.809318670021007,16.212266200425173,14.546705067121831,12.41001074258525,9.806242240354228,7.92468747733404,6.159001492376253
PRT,Portugal,13.918261032265244,13.74627533197798,13.386408082913695,12.776817744625404,11.76405117878435,10.905392154706313,9.526655822906417,7.816927222319155,5.8572126527613735
PRY,Paraguay,20.57347790442168,20.247912225846036,19.368108834531306,17.396626577499063,11.520700264222292,9.245332141622798,7.2520332745943055,5.653722769303911,4.1957222411181805
QAT,Qatar,23.528742055247655,23.274301569633185,23.021614685658204,22.846702014465453,22.3581289314979,19.738962204724636,14.706704758352435,10.233013775832163,6.310011634887136
ROU,Romania,13.804983309378386,13.573173842596184,13.217335884305829,12.664123570273517,11.584515707918692,10.361911377435998,8.925624010624036,7.140121032207601,5.251800246613179
RUS,Russian Federation,15.21009528974264,14.985906513762767,14.732023675134648,14.387802896723244,13.016257585834708,11.324664390870453,9.458292899738995,7.661257190432753,5.828643613367169
RWA,Rwanda,22.41779901309156,21.262554231430194,18.4844043068246,15.484141463332145,12.084497363333433,9.805533596101881,7.622163120575477,6.002599138636463,4.602571425109
SAU,Saudi Arabia,18.611145233312627,18.15962675591005,16.515949501529207,13.924527858493882,11.073128800155883,9.792869063511123,8.099210796779708,5.895456065741704,3.6076396716041175
SEN,Senegal,25.006611446838836,24.47409261916129,22.66854117929629,16.207320347326295,9.058100410156033,6.999796214944523,5.525894000699494,4.345830291854245,3.154882623209669
SGP,Singapore,16.35778809533235,16.25501587721649,15.835640976135117,14.843580659925207,12.574923765773017,11.416086527878214,9.996389661278288,8.296937706958058,6.423414812299326
SLB,Solomon Islands,23.37897568036485,22.81560101163782,20.63360469429154,17.918124888132468,8.794111762681695,6.896805519022478,5.401925566136572,4.161546381848073,3.061054084260261
SLE,Sierra Leone,25.03529301219014,24.27767704651589,18.056620963667843,15.239779957335397,10.551132609396799,9.319538005435936,7.5736337278166035,6.075480323136517,4.5274482514316405
